A||G||H||I||J||K||currPrice||stopPrice||operDirection||operDescription
2018-12-03 18:30:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-03 18:45:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-03 19:00:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-03 19:15:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-03 19:30:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-03 19:45:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-03 20:00:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-03 20:15:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-03 20:30:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-03 20:45:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-03 21:00:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-03 21:15:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-03 21:30:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-03 21:45:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-03 22:00:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-03 22:15:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-03 22:30:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-03 22:45:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-03 23:00:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-03 23:15:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-03 23:30:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-03 23:45:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-04 00:00:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-04 00:15:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-04 00:30:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-04 00:45:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-04 01:00:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-04 01:15:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-04 01:30:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-04 01:45:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-04 02:00:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-04 02:15:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-04 02:30:00||0.0||0.0||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-04 02:45:00||4876.27377||4876.27377||0.0||0.0||0.0||0.0||0.0|| || 
2018-12-04 03:00:00||4744.434802307692||4812.795748518519||-68.36094621082702||-68.36094621082702||0.0||0.0||0.0|| || 
2018-12-04 03:15:00||5263.88180964497||5057.836089368999||206.0457202759717||-13.479612913467285||439.05066637887796||0.0||0.0|| || 
2018-12-04 03:30:00||5534.888762007284||5203.583564230555||331.3051977767291||55.47734922457199||551.6556971043142||0.0||0.0|| || 
2018-12-04 03:45:00||5283.420012467702||5107.047143917181||176.37286855052116||79.65645308976183||193.43283092151867||0.0||0.0|| || 
2018-12-04 04:00:00||5202.287609011132||5081.048051034426||121.23955797670624||87.9730740671507||66.53296781911106||0.0||0.0|| || 
